2021-02-23 14:09:26.394461
0: 3
1: 6
2021-02-23 14:09:26.396620
0: 2
1: 3
2021-02-23 14:09:26.398478
0: 3
1: 5
2021-02-23 14:09:26.400311
0: 2
1: 4
2021-02-23 14:09:26.402246
0: 2
1: 5
2021-02-23 14:09:26.404060
0: 0
1: 6
2021-02-23 14:09:26.405870
0: 3
1: 5
2021-02-23 14:09:26.407678
0: 1
1: 4
2021-02-23 14:09:26.409483
0: 1
1: 5
2021-02-23 14:09:26.411386
0: 2
1: 5
2021-02-23 14:09:26.413228
0: 3
1: 6
2021-02-23 14:09:26.415047
0: 1
1: 4
2021-02-23 14:09:26.416865
0: 2
1: 6
2021-02-23 14:09:26.418674
0: 3
1: 5
2021-02-23 14:09:26.420484
0: 1
1: 5
2021-02-23 14:09:26.422314
0: 2
1: 5
2021-02-23 14:09:26.424134
0: 4
1: 4
2021-02-23 14:09:26.425949
0: 2
1: 4
2021-02-23 14:09:26.427756
0: 2
1: 5
2021-02-23 14:09:26.429566
0: 0
1: 4
2021-02-23 14:09:26.431402
0: 1
1: 7
2021-02-23 14:09:26.433246
0: 4
1: 4
2021-02-23 14:09:26.435067
0: 2
1: 5
2021-02-23 14:09:26.436885
0: 2
1: 4
2021-02-23 14:09:26.438697
0: 2
1: 5
2021-02-23 14:09:26.440513
0: 1
1: 6
2021-02-23 14:09:26.442342
0: 2
1: 5
2021-02-23 14:09:26.444165
0: 1
1: 6
2021-02-23 14:09:26.445986
0: 3
1: 5
2021-02-23 14:09:26.447802
0: 2
1: 6
2021-02-23 14:09:26.449616
0: 2
1: 4
2021-02-23 14:09:26.451444
0: 1
1: 26
2021-02-23 14:09:26.453291
0: 2
1: 5
2021-02-23 14:09:26.455117
0: 1
1: 4
2021-02-23 14:09:26.456936
0: 3
1: 8
2021-02-23 14:09:26.458753
0: 0
1: 4
2021-02-23 14:09:26.460577
0: 2
1: 3
2021-02-23 14:09:26.462476
0: 2
1: 6
2021-02-23 14:09:26.464369
0: 3
1: 5
2021-02-23 14:09:26.466215
0: 1
1: 5
2021-02-23 14:09:26.468072
0: 2
1: 5
2021-02-23 14:09:26.469937
0: 2
1: 5
2021-02-23 14:09:26.471786
0: 2
1: 7
2021-02-23 14:09:26.473639
0: 0
1: 6
2021-02-23 14:09:26.475474
0: 2
1: 5
2021-02-23 14:09:26.477314
0: 1
1: 12
2021-02-23 14:09:26.479149
0: 1
1: 5
2021-02-23 14:09:26.480985
0: 2
1: 3
2021-02-23 14:09:26.482830
0: 2
1: 5
2021-02-23 14:09:26.484679
0: 4
1: 4
2021-02-23 14:09:26.486519
0: 1
1: 3
2021-02-23 14:09:26.488358
0: 2
1: 3
2021-02-23 14:09:26.490198
0: 2
1: 5
2021-02-23 14:09:26.492044
0: 1
1: 4
2021-02-23 14:09:26.493888
0: 3
1: 5
2021-02-23 14:09:26.495738
0: 4
1: 5
2021-02-23 14:09:26.497579
0: 4
1: 6
2021-02-23 14:09:26.499425
0: 1
1: 5
2021-02-23 14:09:26.501359
0: 2
1: 6
2021-02-23 14:09:26.503275
0: 2
1: 5
2021-02-23 14:09:26.505133
0: 6
1: 3
2021-02-23 14:09:26.506987
0: 3
1: 9
2021-02-23 14:09:26.508836
0: 1
1: 4
2021-02-23 14:09:26.510684
0: 3
1: 5
2021-02-23 14:09:26.512533
0: 0
1: 6
2021-02-23 14:09:26.514379
0: 3
1: 4
2021-02-23 14:09:26.516230
0: 0
1: 4
2021-02-23 14:09:26.518075
0: 1
1: 5
2021-02-23 14:09:26.519921
0: 0
1: 7
2021-02-23 14:09:26.521767
0: 3
1: 6
2021-02-23 14:09:26.523613
0: 4
1: 5
