2021-02-23 14:12:29.420079
0: 20
1: 265
2021-02-23 14:12:29.422376
0: 42
1: 259
2021-02-23 14:12:29.424246
0: 53
1: 277
2021-02-23 14:12:29.426072
0: 52
1: 271
2021-02-23 14:12:29.427876
0: 53
1: 271
2021-02-23 14:12:29.429679
0: 89
1: 252
2021-02-23 14:12:29.431498
0: 62
1: 256
2021-02-23 14:12:29.433327
0: 69
1: 274
2021-02-23 14:12:29.435137
0: 72
1: 255
2021-02-23 14:12:29.436943
0: 91
1: 263
2021-02-23 14:12:29.438748
0: 62
1: 273
2021-02-23 14:12:29.440552
0: 79
1: 246
2021-02-23 14:12:29.442411
0: 96
1: 279
2021-02-23 14:12:29.444247
0: 77
1: 252
2021-02-23 14:12:29.446057
0: 80
1: 277
2021-02-23 14:12:29.447868
0: 92
1: 243
2021-02-23 14:12:29.449685
0: 96
1: 255
2021-02-23 14:12:29.451586
0: 105
1: 269
2021-02-23 14:12:29.453450
0: 107
1: 280
2021-02-23 14:12:29.455271
0: 103
1: 272
2021-02-23 14:12:29.457084
0: 109
1: 255
2021-02-23 14:12:29.458896
0: 93
1: 266
2021-02-23 14:12:29.460707
0: 35
1: 269
2021-02-23 14:12:29.462620
0: 14
1: 264
2021-02-23 14:12:29.464513
0: 3
1: 250
2021-02-23 14:12:29.466342
0: 3
1: 264
2021-02-23 14:12:29.468168
0: 9
1: 257
2021-02-23 14:12:29.469994
0: 3
1: 263
2021-02-23 14:12:29.471916
0: 8
1: 268
2021-02-23 14:12:29.473772
0: 1
1: 266
2021-02-23 14:12:29.475604
0: 3
1: 263
2021-02-23 14:12:29.477434
0: 0
1: 262
2021-02-23 14:12:29.479256
0: 0
1: 265
2021-02-23 14:12:29.481078
0: 3
1: 257
2021-02-23 14:12:29.482914
0: 3
1: 263
2021-02-23 14:12:29.484746
0: 0
1: 265
2021-02-23 14:12:29.486577
0: 0
1: 266
2021-02-23 14:12:29.488405
0: 1
1: 265
2021-02-23 14:12:29.490230
0: 2
1: 263
2021-02-23 14:12:29.492062
